x,y
207,168
207,168
206,167
206,167
207,167
207,167
207,166
207,166
207,166
207,166
207,165
207,165
207,165
207,165
207,165
207,165
207,165
207,165
207,165
207,165
207,165
207,165
206,165
206,165
205,166
205,166
204,167
204,167
205,167
205,167
205,167
205,167
205,167
205,167
205,168
205,168
205,168
205,168
205,168
205,168
205,167
205,167
204,165
204,165
204,164
204,164
204,162
204,162
205,162
205,162
205,162
205,162
205,161
205,161
205,161
205,161
204,160
204,160
204,160
204,160
204,161
204,161
204,160
204,160
204,160
204,160
204,160
204,160
204,159
204,159
204,159
204,159
204,159
204,159
204,159
204,159
204,159
204,159
203,159
203,159
203,159
203,159
203,161
203,161
203,164
203,164
204,166
204,166
204,166
204,166
204,167
204,167
204,167
204,167
205,167
205,167
204,167
204,167
204,168
204,168
205,168
205,168
204,168
204,168
205,169
205,169
205,169
205,169
204,169
204,169
204,169
204,169
204,170
204,170
204,170
204,170
204,170
204,170
204,170
204,170
204,170
204,170
204,170
204,170
204,170
204,170
204,171
204,171
204,171
204,171
204,171
204,171
204,171
204,171
204,171
204,171
204,170
204,170
203,170
203,170
202,169
202,169
202,169
202,169
202,169
202,169
202,169
202,169
202,169
202,169
202,169
202,169
202,169
202,169
202,169
202,169
200,168
200,168
200,168
200,168
199,167
199,167
198,167
198,167
197,167
197,167
195,167
195,167
194,166
194,166
193,166
193,166
192,166
192,166
192,165
192,165
191,165
191,165
191,164
191,164
191,163
191,163
191,162
191,162
192,162
192,162
194,160
194,160
194,159
194,159
194,158
194,158
194,157
194,157
194,156
194,156
193,155
193,155
193,154
193,154
193,153
193,153
193,152
193,152
193,152
193,152
193,151
193,151
193,151
193,151
193,151
193,151
193,151
193,151
193,151
193,151
193,151
193,151
193,151
193,151
193,151
193,151
193,152
193,152
193,152
193,152
193,152
193,152
193,152
193,152
193,152
193,152
192,153
192,153
192,153
192,153
192,153
192,153
191,153
191,153
191,154
191,154
191,153
191,153
191,153
191,153
191,153
191,153
191,153
191,153
191,153
191,153
190,154
190,154
190,154
190,154
190,153
190,153
190,154
190,154
191,154
191,154
191,154
191,154
191,154
191,154
191,154
191,154
191,154
191,154
191,154
191,154
190,154
190,154
191,154
191,154
190,154
190,154
192,154
192,154
194,154
194,154
194,154
194,154
195,154
195,154
195,154
195,154
197,154
197,154
198,154
198,154
199,154
199,154
200,153
200,153
201,153
201,153
203,153
203,153
204,153
204,153
205,153
205,153
206,153
206,153
207,153
207,153
208,154
208,154
209,154
209,154
211,154
211,154
211,154
211,154
212,154
212,154
212,154
212,154
212,154
212,154
212,154
212,154
212,154
212,154
212,154
212,154
212,154
212,154
212,154
212,154
212,154
212,154
211,154
211,154
211,155
211,155
210,155
210,155
210,155
210,155
210,155
210,155
210,155
210,155
210,154
210,154
210,155
210,155
210,154
210,154
210,154
210,154
210,154
210,154
210,155
210,155
210,154
210,154
210,155
210,155
210,155
210,155
210,155
210,155
210,155
210,155
210,155
210,155
210,155
210,155
210,155
210,155
210,155
210,155
210,155
210,155
212,155
212,155
214,155
214,155
217,155
217,155
220,154
220,154
222,154
222,154
224,154
224,154
225,154
225,154
225,154
225,154
227,154
227,154
228,154
228,154
229,154
229,154
231,154
231,154
232,154
232,154
233,154
233,154
234,155
234,155
236,155
236,155
237,155
237,155
238,155
238,155
238,156
238,156
239,156
239,156
239,156
239,156
239,158
239,158
240,160
240,160
241,158
241,158
240,157
240,157
240,157
240,157
241,156
241,156
240,156
240,156
240,156
240,156
240,156
240,156
240,155
240,155
240,155
240,155
240,155
240,155
240,155
240,155
240,156
240,156
239,155
239,155
239,155
239,155
239,155
239,155
239,155
239,155
239,155
239,155
239,155
239,155
239,155
239,155
239,156
239,156
238,156
238,156
237,157
237,157
235,158
235,158
235,158
235,158
233,160
233,160
229,161
229,161
222,162
222,162
215,163
215,163
205,165
205,165
200,166
200,166
195,167
195,167
191,167
191,167
187,168
187,168
184,169
184,169
181,170
181,170
178,171
178,171
178,171
178,171
175,172
175,172
173,173
173,173
170,174
170,174
169,174
169,174
169,174
169,174
168,174
168,174
168,174
168,174
168,174
168,174
168,173
168,173
168,173
168,173
167,173
167,173
167,173
167,173
167,173
167,173
167,173
167,173
167,173
167,173
167,173
167,173
166,173
166,173
167,173
167,173
167,173
167,173
167,173
167,173
167,173
167,173
167,174
167,174
168,173
168,173
168,173
168,173
168,173
168,173
168,173
168,173
169,173
169,173
169,173
169,173
169,173
169,173
173,173
173,173
177,173
177,173
179,173
179,173
182,172
182,172
185,172
185,172
187,172
187,172
190,172
190,172
193,171
193,171
194,171
194,171
194,171
194,171
199,171
199,171
200,171
200,171
202,172
202,172
204,172
204,172
206,172
206,172
207,172
207,172
209,172
209,172
211,173
211,173
212,173
212,173
212,173
212,173
213,173
213,173
213,173
213,173
213,174
213,174
213,174
213,174
212,174
212,174
212,174
212,174
212,174
212,174
211,175
211,175
211,175
211,175
211,175
211,175
211,175
211,175
211,175
211,175
211,175
