x,y
198,155
198,155
200,156
200,156
200,158
200,158
200,158
200,158
199,158
199,158
199,158
199,158
200,158
200,158
200,158
200,158
200,158
200,158
200,158
200,158
201,158
201,158
201,158
201,158
201,158
201,158
202,158
202,158
202,158
202,158
202,158
202,158
203,158
203,158
202,158
202,158
203,158
203,158
203,158
203,158
202,159
202,159
203,159
203,159
202,159
202,159
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,159
202,159
203,159
203,159
203,159
203,159
202,159
202,159
202,160
202,160
203,160
203,160
203,160
203,160
203,160
203,160
204,160
204,160
204,160
204,160
204,160
204,160
204,160
204,160
204,160
204,160
203,161
203,161
203,160
203,160
203,160
203,160
204,160
204,160
204,160
204,160
205,160
205,160
207,160
207,160
208,159
208,159
210,159
210,159
211,159
211,159
211,159
211,159
211,159
211,159
210,158
210,158
210,158
210,158
208,159
208,159
207,159
207,159
205,159
205,159
203,159
203,159
202,160
202,160
201,159
201,159
200,159
200,159
200,159
200,159
200,160
200,160
200,160
200,160
201,160
201,160
201,160
201,160
201,160
201,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,161
202,161
201,161
201,161
201,161
201,161
201,160
201,160
201,160
201,160
201,161
201,161
201,161
201,161
201,161
201,161
201,162
201,162
201,162
201,162
200,163
200,163
201,164
201,164
201,164
201,164
201,163
201,163
201,163
201,163
201,163
201,163
201,163
201,163
201,164
201,164
201,164
201,164
201,163
201,163
201,163
201,163
200,163
200,163
200,162
200,162
200,162
200,162
200,162
200,162
200,162
200,162
199,162
199,162
200,161
200,161
200,161
200,161
200,161
200,161
200,161
200,161
200,161
200,161
200,161
200,161
200,160
200,160
200,160
200,160
200,160
200,160
200,160
200,160
200,160
200,160
201,160
201,160
201,160
201,160
202,160
202,160
202,160
202,160
202,160
202,160
203,160
203,160
203,160
203,160
204,160
204,160
204,160
204,160
204,160
204,160
204,160
204,160
204,161
204,161
204,161
204,161
203,161
203,161
204,161
204,161
203,161
203,161
203,161
203,161
203,161
203,161
203,161
203,161
202,161
202,161
202,161
202,161
202,162
202,162
202,162
202,162
202,162
202,162
203,162
203,162
203,161
203,161
203,161
203,161
203,161
203,161
203,161
203,161
203,161
203,161
204,161
204,161
204,161
204,161
204,162
204,162
204,163
204,163
204,164
204,164
205,165
205,165
205,165
205,165
206,165
206,165
206,165
206,165
206,165
206,165
206,165
206,165
206,164
206,164
206,164
206,164
205,164
205,164
204,163
204,163
203,162
203,162
202,161
202,161
202,161
202,161
202,161
202,161
202,161
202,161
202,161
202,161
202,161
202,161
202,161
202,161
203,161
203,161
203,161
203,161
203,161
203,161
204,161
204,161
205,161
205,161
204,162
204,162
204,162
204,162
204,162
204,162
204,162
204,162
203,162
203,162
204,162
204,162
204,162
204,162
204,162
204,162
204,162
204,162
203,162
203,162
203,161
203,161
203,161
203,161
203,162
203,162
203,163
203,163
202,163
202,163
202,161
202,161
200,160
200,160
199,159
199,159
199,160
199,160
198,159
198,159
199,159
199,159
198,159
198,159
197,159
197,159
197,158
197,158
197,158
197,158
197,158
197,158
197,158
197,158
197,158
197,158
197,158
197,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
198,158
197,158
197,158
197,158
197,158
197,158
197,158
197,158
197,158
199,158
199,158
200,159
200,159
201,159
201,159
201,159
201,159
201,159
201,159
201,159
201,159
202,159
202,159
202,159
202,159
202,159
202,159
203,159
203,159
203,159
203,159
202,159
202,159
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,159
202,159
202,159
202,159
202,159
202,159
202,159
202,159
202,160
202,160
203,159
203,159
203,160
203,160
203,160
203,160
202,159
202,159
202,159
202,159
202,159
202,159
202,159
202,159
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
202,160
201,160
201,160
201,160
201,160
201,160
201,160
201,160
201,160
201,160
201,160
201,160
201,160
201,160
201,160
200,158
200,158
200,158
200,158
200,158
200,158
200,158
200,158
200,157
200,157
200,157
200,157
200,157
200,157
200,157
200,157
200,157
200,157
201,157
201,157
201,157
201,157
201,157
201,157
201,158
201,158
203,160
203,160
202,159
202,159
202,158
202,158
201,157
201,157
202,157
202,157
202,157
202,157
202,157
202,157
202,157
202,157
202,157
202,157
203,157
203,157
203,157
203,157
204,156
204,156
204,157
204,157
204,157
204,157
204,157
